,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,max_val,max_cat,count
4049,soil pollution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,climate,25
4048,soil contamination,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,cost of living,25
4050,soil quality,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,equity,4
2111,hockey skills,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,transit,15
1929,golf,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,equity,10
1932,golf courses,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,equity,29
452,baseball diamonds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,safety,15
1787,fishing (sport),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,equity,10
4096,sport fishing,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,equity,10
1874,gambling,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,equity,20
4392,tobacco,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,transit,40
4158,stormwater pollution,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,housing,18
4254,suicide,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,cost of living,7
2632,marine pollution,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.002,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.002,noise,1
1933,golf facilities,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,business,29
3514,racing track,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,equity,5
468,beach volleyball,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.002,equity,3
1189,cricket fields,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,equity,2
3154,personal hygiene,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.002,dogs,11
2107,hockey,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.002,equity,15
4102,sports fields,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,bikes,24
336,appliances (waste),0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.002,0.001,0.000,0.002,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.002,noise,3
1425,drug addiction,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,transit,86
1190,cricket pitches,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,equity,2
4715,volleyball,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,equity,2
1616,environmental tobacco smoke,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,transit,40
4901,windrow clearing (snow),0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.001,0.002,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.002,climate,58
1424,drug abuse,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,transit,86
768,carpeting (waste,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.002,transit,3
2143,horticulture,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,equity,12
450,baseball,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.003,0.000,0.003,equity,12
4156,stormwater management,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.003,infrastructure,48
2857,needles (waste),0.000,0.000,0.003,0.000,0.000,0.001,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.003,transit,3
4575,turf grass,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,safety,7
454,baseball leagues,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.003,equity,22
1188,cricket,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.003,equity,12
1820,food allergies,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.003,safety,3
1762,fire fighting,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,equity,259
1112,contraception,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.003,0.003,business,4
438,ball hockey,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.003,equity,15
3419,prostitution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,business,2
1462,education (sc),0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.001,0.000,0.003,0.000,0.003,equity,10
1962,graveyards,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.000,0.002,0.000,0.003,0.001,0.003,equity,34
3309,poultry,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.003,safety,9
18,Alzheimers,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.003,housing,2
1773,fire suppression,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.003,safety,259
1057,composting,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.001,0.000,0.004,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.002,0.004,energy,1
4691,video games,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.004,safety,1
257,agriculture,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.004,equity,27
1918,geographic information systems,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.004,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.004,equity,6
1949,graffiti crime,0.002,0.001,0.000,0.000,0.004,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.004,parks,137
3136,penitentiaries,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.004,housing,21
4400,tourism,0.000,0.003,0.000,0.002,0.004,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.002,0.004,parks,40
85,Paralympic Games,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.004,equity,3
4047,soil,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.004,safety,6
2285,information technology,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.002,0.000,0.002,0.003,0.000,0.000,0.003,0.000,0.000,0.004,0.001,0.004,equity,256
1063,computer-related equipment,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.004,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.004,infrastructure,67
1617,environmentally friendly lawn care,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.004,equity,5
1704,fauna,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.004,0.001,0.001,0.000,0.004,0.000,0.004,0.000,0.004,cost of living,44
4812,water pollution,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,transit,1
1836,food poisoning,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.004,safety,1
1828,food containers (waste),0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.004,transit,62
4869,weeds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.005,cost of living,15
60,Islamic foods,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.005,transit,3
3271,policing,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.005,equity,266
37,Christmas trees (waste),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.005,transit,2
284,alcohol abuse,0.005,0.000,0.000,0.000,0.002,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.005,housing,86
4052,soil testing,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.005,safety,3
4784,water complaints,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.004,0.004,0.000,0.000,0.000,0.002,0.000,0.002,0.002,0.005,transit,3
1832,food handling,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.005,0.001,0.005,equity,13
2827,murders,0.001,0.000,0.000,0.005,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.005,dogs,3
2286,information technology acquisitions,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.005,0.005,business,60
2821,municipal solid waste,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.005,0.005,business,99
2365,jail,0.000,0.001,0.000,0.003,0.000,0.000,0.000,0.002,0.005,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.005,noise,18
4573,tuberculosis,0.005,0.000,0.000,0.000,0.001,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.005,housing,9
3516,radioactive waste,0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.005,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,transit,1
607,botanical gardens,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.005,0.000,0.005,equity,15
3333,pregnancy,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.005,equity,4
3011,overflowing litter bins,0.002,0.000,0.000,0.001,0.001,0.000,0.000,0.004,0.001,0.000,0.001,0.005,0.002,0.000,0.000,0.000,0.001,0.000,0.002,0.002,0.005,infrastructure,20
4402,tourism development,0.000,0.002,0.000,0.002,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.005,0.005,business,23
1384,domestic violence,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.005,housing,54
4105,sports tournaments,0.000,0.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.001,0.001,0.000,0.005,0.000,0.005,equity,10
2109,hockey leagues,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.006,0.000,0.006,equity,22
4816,water quality,0.002,0.001,0.000,0.001,0.001,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.006,transit,24
256,agricultural products,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.006,0.001,0.006,equity,52
3137,pensions,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.006,0.001,0.006,equity,226
1778,firefighting,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.006,equity,259
2548,livestock,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.006,0.005,0.006,equity,6
1064,computers (waste),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,noise,5
48,HIV/AIDS,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.006,transit,43
1275,dementia,0.005,0.000,0.000,0.000,0.004,0.000,0.000,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.006,transit,13
3379,professional sports,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.006,equity,7
1497,electronics (waste),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,noise,5
38,Crime Stoppers,0.001,0.002,0.000,0.001,0.000,0.000,0.001,0.004,0.006,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.006,noise,15
2489,leisure skating,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.000,0.002,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.006,0.000,0.006,equity,17
4617,urban forestry,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.006,0.000,0.003,0.000,0.006,cost of living,225
2491,leisure swimming,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.006,equity,25
4552,tree damage deposits,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.002,0.001,0.003,0.001,0.001,0.000,0.000,0.002,0.000,0.006,0.006,0.006,business,4
3995,slo-pitch leagues,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.005,0.001,0.001,0.000,0.007,0.000,0.000,0.000,0.001,0.000,0.005,0.002,0.007,safety,22
3507,raccoons,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.007,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.007,noise,42
3568,recreational fishing,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007,equity,10
673,bulky plastics (waste),0.001,0.000,0.000,0.000,0.002,0.001,0.000,0.007,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,transit,5
1873,furniture (waste),0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.007,housing,3
324,anonymous crime reporting,0.001,0.003,0.001,0.002,0.001,0.000,0.000,0.006,0.002,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.001,0.000,0.007,0.000,0.007,equity,1
1931,golf centres,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.007,0.007,business,29
3904,sexual health,0.001,0.000,0.000,0.001,0.002,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.007,0.002,0.000,0.007,healthcare,6
4961,zoo animals,0.000,0.000,0.000,0.005,0.007,0.000,0.000,0.003,0.000,0.001,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.007,parks,48
347,arboretums,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.000,0.000,0.001,0.000,0.007,0.000,0.007,equity,6
1509,emergency management,0.001,0.001,0.001,0.002,0.000,0.000,0.002,0.003,0.000,0.003,0.004,0.005,0.007,0.000,0.000,0.000,0.000,0.004,0.003,0.000,0.007,safety,117
819,charitable gaming,0.000,0.001,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.000,0.007,0.001,0.007,equity,10
1785,fishes,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.005,0.000,0.000,0.000,0.000,0.007,0.002,0.000,0.000,0.002,0.000,0.006,0.001,0.007,safety,3
2624,manual unloading (waste),0.001,0.005,0.002,0.001,0.001,0.000,0.001,0.007,0.006,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.007,transit,1
1056,compost,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.005,0.001,0.001,0.001,0.000,0.003,0.000,0.001,0.001,0.007,0.000,0.001,0.002,0.007,cost of living,1
429,bacteria,0.003,0.000,0.000,0.000,0.002,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.007,transit,1
609,botanical resources,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.001,0.000,0.007,0.000,0.007,equity,15
2393,labor relations,0.000,0.001,0.000,0.001,0.000,0.005,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.001,0.006,0.007,0.007,transit,367
3205,pick-up hockey,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.004,0.000,0.000,0.000,0.001,0.000,0.008,0.000,0.008,equity,15
675,burial grounds,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.000,0.000,0.003,0.000,0.008,0.000,0.008,equity,34
2971,optomology services,0.000,0.000,0.000,0.001,0.002,0.000,0.001,0.005,0.000,0.000,0.001,0.001,0.006,0.000,0.000,0.003,0.001,0.002,0.002,0.008,0.008,business,4
432,badminton clubs,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.008,0.001,0.008,equity,22
4805,water management systems,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.003,0.008,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.008,safety,200
3574,recreational swimming,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.008,equity,25
1463,education taxes,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.008,0.000,0.008,equity,51
451,baseball associations,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.001,0.000,0.008,0.001,0.008,equity,22
823,charity gaming,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.008,0.000,0.008,equity,10
3174,pest control,0.002,0.000,0.000,0.008,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.008,dogs,9
1059,computer equipment,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.001,0.000,0.000,0.002,0.008,0.000,0.000,0.002,0.000,0.000,0.001,0.002,0.008,safety,67
2658,mechanical leaf collection,0.001,0.000,0.000,0.000,0.002,0.006,0.000,0.004,0.000,0.001,0.001,0.001,0.006,0.001,0.000,0.001,0.001,0.000,0.007,0.008,0.008,business,20
2492,leisure water vehicles,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.006,0.000,0.000,0.006,0.001,0.002,0.000,0.000,0.001,0.001,0.000,0.009,0.000,0.009,equity,4
2281,information management,0.000,0.001,0.001,0.001,0.002,0.000,0.005,0.004,0.000,0.000,0.004,0.000,0.001,0.000,0.000,0.006,0.002,0.000,0.009,0.002,0.009,equity,20
2652,mattresses (waste),0.007,0.000,0.001,0.000,0.000,0.003,0.000,0.009,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.009,transit,5
4228,styrofoam (waste),0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.009,0.005,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.009,transit,62
1323,diet,0.003,0.000,0.000,0.009,0.004,0.000,0.000,0.003,0.000,0.001,0.001,0.000,0.002,0.000,0.000,0.005,0.002,0.000,0.001,0.000,0.009,dogs,127
4151,storm water management,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.002,0.009,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.009,safety,48
1786,fishing,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.009,0.000,0.009,equity,10
4153,stormwater,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.007,0.009,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.009,safety,17
2142,horticulturalists,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.001,0.000,0.009,0.000,0.009,equity,12
2676,meditation rooms,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.009,0.000,0.009,equity,3
2108,hockey associations,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.001,0.000,0.009,0.000,0.009,equity,22
1834,food industry,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.004,0.009,0.009,business,72
2440,lawn bowling,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.009,parks,9
4424,track and field,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.009,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.009,transit,2
