,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,max_val,max_cat,count
3652,report a pothole,0.000,0.000,0.000,0.000,0.000,0.006,0.005,0.028,0.001,0.000,0.000,0.997,0.925,0.000,0.000,0.002,0.005,0.000,0.004,0.469,0.997,infrastructure,3
1152,corporate travel,0.000,0.001,0.000,0.000,0.000,0.000,0.011,0.017,0.001,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.000,0.000,0.004,0.997,0.997,business,18
1750,fine art,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.997,0.000,0.000,0.000,0.000,0.004,0.000,0.997,arts,4
1477,electric bikes,0.000,0.997,0.000,0.000,0.136,0.000,0.000,0.631,0.001,0.959,0.002,0.019,0.524,0.001,0.010,0.011,0.022,0.000,0.113,0.085,0.997,bikes,14
688,bus stops,0.000,0.000,0.001,0.000,0.000,0.001,0.721,0.997,0.523,0.005,0.006,0.899,0.847,0.001,0.000,0.018,0.056,0.001,0.116,0.348,0.997,transit,9
4799,water hydrant,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.002,0.000,0.997,0.964,0.000,0.000,0.000,0.002,0.000,0.005,0.017,0.997,infrastructure,8
2318,intercity bus lines,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.997,0.029,0.001,0.001,0.609,0.382,0.000,0.000,0.001,0.022,0.000,0.060,0.435,0.997,transit,7
4646,utility wires,0.000,0.000,0.000,0.000,0.000,0.001,0.008,0.126,0.000,0.790,0.001,0.997,0.755,0.000,0.000,0.004,0.004,0.000,0.006,0.101,0.997,infrastructure,29
97,Toronto Transit Commission,0.000,0.001,0.001,0.002,0.000,0.001,0.239,0.997,0.051,0.001,0.002,0.899,0.416,0.000,0.000,0.003,0.013,0.000,0.284,0.437,0.997,transit,782
3781,rooming houses,0.997,0.000,0.000,0.000,0.000,0.933,0.000,0.002,0.004,0.007,0.006,0.011,0.039,0.002,0.000,0.001,0.102,0.000,0.043,0.058,0.997,housing,40
4143,stops (public transportation),0.000,0.003,0.000,0.000,0.000,0.000,0.014,0.997,0.009,0.000,0.000,0.025,0.373,0.000,0.000,0.001,0.002,0.000,0.046,0.000,0.997,transit,2
1380,dogs off leash parks,0.000,0.000,0.000,0.997,0.997,0.000,0.000,0.000,0.012,0.279,0.002,0.001,0.930,0.001,0.001,0.004,0.003,0.000,0.184,0.014,0.997,parks,40
1089,construction,0.508,0.003,0.000,0.001,0.002,0.997,0.005,0.009,0.000,0.010,0.000,0.983,0.001,0.002,0.000,0.013,0.002,0.000,0.142,0.943,0.997,construction,1819
1258,day cares,0.004,0.005,0.001,0.005,0.004,0.008,0.006,0.015,0.030,0.026,0.121,0.005,0.128,0.003,0.997,0.012,0.588,0.906,0.024,0.030,0.997,childcare,146
4496,transit,0.000,0.069,0.000,0.001,0.000,0.000,0.939,0.997,0.001,0.002,0.000,0.650,0.408,0.001,0.000,0.004,0.004,0.000,0.022,0.007,0.997,transit,329
3339,preschools,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.181,0.001,0.997,0.002,0.001,0.000,0.075,0.000,0.997,childcare,7
3893,sewer service lines,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.071,0.000,0.001,0.001,0.997,0.801,0.000,0.000,0.001,0.001,0.000,0.014,0.549,0.997,infrastructure,45
2457,lead service pipe replacement,0.002,0.000,0.000,0.000,0.001,0.802,0.005,0.063,0.002,0.002,0.001,0.997,0.262,0.001,0.000,0.001,0.008,0.002,0.056,0.971,0.997,infrastructure,84
2268,infill housing,0.997,0.001,0.000,0.002,0.000,0.981,0.000,0.001,0.002,0.003,0.003,0.036,0.084,0.001,0.000,0.001,0.096,0.000,0.008,0.000,0.997,housing,18
2759,motorcycles,0.000,0.997,0.000,0.000,0.000,0.000,0.001,0.018,0.001,0.002,0.000,0.000,0.669,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.997,bikes,14
2521,light poles,0.001,0.000,0.001,0.000,0.000,0.733,0.002,0.031,0.000,0.133,0.002,0.997,0.849,0.018,0.000,0.005,0.010,0.001,0.020,0.011,0.997,infrastructure,5
4249,subway performers,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.997,0.007,0.075,0.002,0.016,0.015,0.324,0.000,0.002,0.027,0.000,0.090,0.007,0.997,transit,1
3780,room rental,0.997,0.001,0.000,0.005,0.000,0.000,0.001,0.000,0.005,0.002,0.052,0.001,0.106,0.023,0.000,0.023,0.861,0.001,0.005,0.967,0.997,housing,10
